"","geoNetwork.country","fullVisitorId","channelGrouping","fullVisitorId.1","device.browser","device.operatingSystem","device.deviceCategory","geoNetwork.continent","geoNetwork.subContinent","geoNetwork.country.1","trafficSource.source","trafficSource.medium","totals.hits","totals.pageviews","date","trafficSource.adContent","device.isMobile","avgGDP","gni2017","gni_cat","totals.transactionRevenue","summedRevenue","summedRevenue_log","totals.transactionRevenue_log"
"1","Other",4068234234266916352,"Organic Search",4068234234266916352,"Chrome","iOS","desktop","Americas","South America","Argentina","google","organic",20,14,20170529,"","False",23182.0145854353,13140,"High income",63060000,63060000,17.9595972120812,17.9595972120812
"2","Other",1226455663650597888,"Paid Search",1226455663650597888,"Chrome","Windows","desktop","Oceania","Australasia","Australia","google","cpc",33,31,20161112,"","False",48610.5891203659,51560,"High income",15980000,15980000,16.5868484983024,16.5868484983024
"3","Other",5879552143073360896,"Organic Search",5879552143073360896,"Chrome","iOS","desktop","Americas","South America","Brazil","google","organic",19,19,20161030,"","False",14548.007515546,8700,"High-Middle income",37980000,37980000,17.4525702633484,17.4525702633484
"4","Canada",6783649640899886080,"Organic Search",6783649640899886080,"Chrome","Windows","desktop","Americas","Northern America","Canada","google","organic",42,34,20161030,"","False",48190.4985685689,42900,"High income",43470000,43470000,17.587581602965,17.587581602965
"5","Canada",728302696788663168,"Organic Search",728302696788663168,"Chrome","Chrome OS","desktop","Americas","Northern America","Canada","google","organic",38,30,20170111,"","False",48190.4985685689,42900,"High income",7970000,7970000,15.8911950507664,15.8911950507664
"6","Canada",8407892564585683968,"Organic Search",8407892564585683968,"Chrome","Windows","desktop","Americas","Northern America","Canada","google","organic",19,19,20170616,"","False",48190.4985685689,42900,"High income",26580000,26580000,17.0956696112494,17.0956696112494
"7","Canada",5836015565471954944,"Organic Search",5836015565471954944,"Other","iOS","desktop","Americas","Northern America","Canada","google","organic",63,47,20160820,"","False",48190.4985685689,42900,"High income",68030000,68030000,18.0354593423212,18.0354593423212
"8","Canada",2682367463648643584,"Direct",2682367463648643584,"Chrome","Chrome OS","desktop","Americas","Northern America","Canada","(direct)","(none)",46,32,20160822,"","False",48190.4985685689,42900,"High income",211340000,211340000,19.1689787689772,19.1689787689772
"9","Canada",7794703468039668736,"Direct",7794703468039668736,"Chrome","Windows","desktop","Americas","Northern America","Canada","(direct)","(none)",42,31,20161130,"","False",48190.4985685689,42900,"High income",28470000,28470000,17.1643614592542,17.1643614592542
"10","Canada",741389474680057600,"Organic Search",741389474680057600,"Chrome","Windows","desktop","Americas","Northern America","Canada","google","organic",47,39,20161216,"","False",48190.4985685689,42900,"High income",14980000,14980000,16.5222265360533,16.5222265360533
"11","Canada",7247995041552365568,"Organic Search",7247995041552365568,"Chrome","iOS","desktop","Americas","Northern America","Canada","google","organic",155,115,20161130,"","False",48190.4985685689,42900,"High income",82820000,82820000,18.2321801360817,18.2321801360817
"12","Canada",7478999854159501312,"Referral",7478999854159501312,"Chrome","Chrome OS","desktop","Americas","Northern America","Canada","mall.googleplex.com","referral",37,29,20160816,"","False",48190.4985685689,42900,"High income",48280000,48280000,17.6925279541936,17.6925279541936
"13","Canada",912047147025556736,"Direct",912047147025556736,"Chrome","Android","mobile","Americas","Northern America","Canada","(direct)","(none)",27,21,20161213,"","True",48190.4985685689,42900,"High income",18990000,18990000,16.7594230827885,16.7594230827885
"14","Canada",5188970266238725120,"Organic Search",5188970266238725120,"Chrome","Windows","desktop","Americas","Northern America","Canada","google","organic",43,34,20161118,"","False",48190.4985685689,42900,"High income",16990000,16990000,16.6481354936481,16.6481354936481
"15","Canada",1401438949602297344,"Referral",1401438949602297344,"Chrome","Windows","desktop","Americas","Northern America","Canada","Other","referral",31,27,20170617,"","False",48190.4985685689,42900,"High income",71950000,71950000,18.0914819912977,18.0914819912977
"16","Canada",9242714675091818496,"Organic Search",9242714675091818496,"Chrome","Windows","desktop","Americas","Northern America","Canada","google","organic",24,21,20161123,"","False",48190.4985685689,42900,"High income",34990000,34990000,17.3705728643439,17.3705728643439
"17","Canada",1511822374866725888,"Direct",1511822374866725888,"Chrome","Chrome OS","desktop","Americas","Northern America","Canada","(direct)","(none)",35,27,20161014,"","False",48190.4985685689,42900,"High income",44790000,44790000,17.6174954581835,17.6174954581835
"18","Canada",1191483048689991936,"Organic Search",1191483048689991936,"Safari","iOS","mobile","Americas","Northern America","Canada","google","organic",75,58,20161118,"","True",48190.4985685689,42900,"High income",35980000,35980000,17.3984737864867,17.3984737864867
"19","Canada",875793319247047552,"Referral",875793319247047552,"Chrome","iOS","desktop","Americas","Northern America","Canada","mall.googleplex.com","referral",13,13,20170529,"","False",48190.4985685689,42900,"High income",13590000,13590000,16.4248447861273,16.4248447861273
"20","Canada",4269279884422404096,"Organic Search",4269279884422404096,"Chrome","Windows","desktop","Americas","Northern America","Canada","google","organic",16,14,20161130,"","False",48190.4985685689,42900,"High income",99990000,99990000,18.420580738952,18.420580738952
"21","Canada",4671049020900082688,"Referral",4671049020900082688,"Chrome","iOS","desktop","Americas","Northern America","Canada","mall.googleplex.com","referral",29,26,20170616,"","False",48190.4985685689,42900,"High income",214180000,789580000,20.4870117164821,19.182327340937
"22","Canada",8388229339863885824,"Direct",8388229339863885824,"Chrome","iOS","desktop","Americas","Northern America","Canada","(direct)","(none)",54,36,20160816,"","False",48190.4985685689,42900,"High income",101630000,101630000,18.436849325114,18.436849325114
"23","Canada",3024684683142249472,"Organic Search",3024684683142249472,"Chrome","Windows","desktop","Americas","Northern America","Canada","google","organic",22,18,20170303,"","False",48190.4985685689,42900,"High income",23980000,23980000,16.9927307075636,16.9927307075636
"24","Canada",994272213284505344,"Social",994272213284505344,"Other","Windows","desktop","Americas","Northern America","Canada","Other","referral",15,14,20170529,"","False",48190.4985685689,42900,"High income",47990000,47990000,17.6865032138344,17.6865032138344
"25","Canada",685256580090504192,"Organic Search",685256580090504192,"Chrome","Windows","desktop","Americas","Northern America","Canada","google","organic",21,19,20161129,"","False",48190.4985685689,42900,"High income",18990000,18990000,16.7594230827885,16.7594230827885
"26","Canada",8388599810336818176,"Direct",8388599810336818176,"Safari","iOS","mobile","Americas","Northern America","Canada","(direct)","(none)",8,7,20161130,"","True",48190.4985685689,42900,"High income",16990000,16990000,16.6481354936481,16.6481354936481
"27","Canada",5610631581931689984,"Organic Search",5610631581931689984,"Chrome","Chrome OS","desktop","Americas","Northern America","Canada","google","organic",11,11,20170613,"","False",48190.4985685689,42900,"High income",67950000,67950000,18.0342826985614,18.0342826985614
"28","Canada",3287424336851494400,"Organic Search",3287424336851494400,"Chrome","Chrome OS","desktop","Americas","Northern America","Canada","google","organic",11,11,20170501,"","False",48190.4985685689,42900,"High income",114770000,114770000,18.5584406836569,18.5584406836569
"29","Other",257005972779390176,"Direct",257005972779390176,"Chrome","iOS","desktop","Americas","South America","Chile","(direct)","(none)",103,73,20160831,"","False",24676.9904513929,13270,"High income",107790000,107790000,18.4956954477578,18.4956954477578
"30","Other",4297559551664016896,"Organic Search",4297559551664016896,"Chrome","iOS","desktop","Asia","Eastern Asia","China","google","organic",13,11,20161130,"","False",14358.4098595682,8740,"High-Middle income",21990000,21990000,16.9060983625309,16.9060983625309
"31","Other",3780112882694926848,"Organic Search",3780112882694926848,"Chrome","Windows","desktop","Asia","Eastern Asia","China","google","organic",58,42,20160822,"","False",14358.4098595682,8740,"High-Middle income",32460000,32460000,17.2955191200507,17.2955191200507
"32","Other",4633246963360830464,"Direct",4633246963360830464,"Chrome","iOS","desktop","Americas","South America","Colombia","(direct)","(none)",44,37,20170303,"","False",14226.8972469649,5930,"High-Middle income",94950000,94950000,18.3688609952226,18.3688609952226
"33","Other",6366599753024688128,"Direct",6366599753024688128,"Chrome","Windows","desktop","Europe","Northern Europe","Finland","(direct)","(none)",21,19,20161216,"","False",47302.4045963363,44790,"High income",55990000,55990000,17.8406836613251,17.8406836613251
"34","Other",1685335291483410944,"Direct",1685335291483410944,"Chrome","iOS","mobile","Europe","Northern Europe","Finland","(direct)","(none)",18,18,20170801,"","True",47302.4045963363,44790,"High income",2990000,2990000,14.9107839453669,14.9107839453669
"35","Other",2108070425798338560,"Organic Search",2108070425798338560,"Other","Windows","desktop","Europe","Western Europe","Germany","google","organic",88,61,20170611,"","False",52739.8373085515,43610,"High income",68980000,68980000,18.049327165473,18.049327165473
"36","Other",9935363478089463808,"Referral",9935363478089463808,"Chrome","iOS","desktop","Asia","Southern Asia","India","mall.googleplex.com","referral",64,42,20161209,"","False",6184.38734817902,1820,"Low-Middle income",187890000,290190000,19.4860464388268,19.0513672431697
"37","Other",3765864302371504128,"Organic Search",3765864302371504128,"Other","Windows","desktop","Asia","Southeast Asia","Indonesia","google","organic",29,27,20160822,"","False",10946.1560804224,3530,"Low-Middle income",113480000,113480000,18.5471371679049,18.5471371679049
"38","Other",9.289122260424e+18,"Organic Search",9.289122260424e+18,"Chrome","Windows","desktop","Asia","Southeast Asia","Indonesia","google","organic",51,47,20160822,"","False",10946.1560804224,3530,"Low-Middle income",454180000,454180000,19.9340041532008,19.9340041532008
